Title,Author,Publication,Date,Year,URL,Bibcode,DOI,Instruments
Planet Hunters: A Transiting Circumbinary Planet in a Quadruple Star System,Schwamb M. | Orosz J. | Carter J. | et. al.,ApJ 768 127,2013 05,2013,arXiv:1210.3612,2013ApJ...768..127S,10.1088/0004-637X/768/2/127,{'nirc': 4}
A Magnified View of the Kinematics and Morphology of RCSGA 032727-132609: Zooming in on a Merger at z = 1.7,Wuyts E. | Rigby J. | Gladders M.,ApJ 781 61,2014 02,2014,arXiv:1312.1564,2014ApJ...781...61W,10.1088/0004-637X/781/2/61,"{'nirspec': 31, 'osiris': 35}"
Chemical Homogeneity in the Hyades,De Silva G. | Sneden C. | Paulson D. | et. al.,AJ 131 455,2006 01,2006,arXiv:astro-ph/0509241,2006AJ....131..455D,10.1086/497968,{}
The Filamentary Large-Scale Structure around the z=2.16 Radio Galaxy PKS 1138-262,Croft S. | Kurk J. | van Breugel W. | et. al.,AJ 130 867,2005 09,2005,arXiv:astro-ph/0505354,2005AJ....130..867C,10.1086/431956,{'lris': 1}
Multi-filament gas inflows fuelling young star-forming galaxies,Martin D. | O'Sullivan D. | Matuszewski M. | et. al.,NatAs 3 822,2019 07,2019,arXiv:1904.11465,2019NatAs...3..822M,10.1038/s41550-019-0791-2,{'kcwi': 16}
Colors and Spectra of Kuiper Belt Objects,Jewitt D. | Luu J.,AJ 122 2099,2001 10,2001,arXiv:astro-ph/0107277,2001AJ....122.2099J,10.1086/323304,"{'nirc': 7, 'lris': 2}"
PTF10nvg: An Outbursting Class I Protostar in the Pelican/North American Nebula,Covey K. | Hillenbrand L. | Miller A. | et. al.,AJ 141 40,2011 02,2011,arXiv:1011.2565,2011AJ....141...40C,10.1088/0004-6256/141/2/40,"{'nirspec': 6, 'lris': 6}"
Limits on Planetary Companions from Doppler Surveys of Nearby Stars,Howard A. | Fulton B.,PASP 128 114401,2016 11,2016,arXiv:1606.03134,2016PASP..128k4401H,10.1088/1538-3873/128/969/114401,{'nirc': 1}
Spectra of globular clusters in the Sombrero galaxy: evidence for spectroscopic metallicity bimodality,Alves-Brito A. | Hau G. | Forbes D. | et. al.,MNRAS 417 1823,2011 11,2011,arXiv:1107.0757,2011MNRAS.417.1823A,10.1111/j.1365-2966.2011.19368.x,{'deimos': 6}
High-Resolution Spectroscopy of [Ne II] Emission from AA Tau and GM Aur,Najita J. | Doppmann G. | Bitner M. | et. al.,ApJ 697 957,2009 05,2009,arXiv:0904.1597,2009ApJ...697..957N,10.1088/0004-637X/697/1/957,{'nirspec': 1}
The Bursty Star Formation Histories of Low-mass Galaxies at 0.4 &lt; z &lt; 1 Revealed by Star Formation Rates Measured From Hβ and FUV,Guo Y. | Rafelski M. | Faber S. | et. al.,ApJ 833 37,2016 12,2016,arXiv:1604.05314,2016ApJ...833...37G,10.3847/1538-4357/833/1/37,"{'deimos': 1, 'mosfire': 1}"
"Old, Rich, and Eccentric: Two Jovian Planets Orbiting Evolved Metal-Rich Stars",Peek K. | Johnson J. | Fischer D. | et. al.,PASP 121 613,2009 06,2009,arXiv:0904.2786,2009PASP..121..613P,10.1086/599862,{}
"Discovery of a Large-Scale Filament Connected to the Massive Galaxy Cluster MACS J0717.5+3745 at z=0.551,",Ebeling H. | Barrett E. | Donovan D.,ApJL 609 L49,2004 07,2004,arXiv:astro-ph/0406049,2004ApJ...609L..49E,10.1086/422750,{}
